dialect_phrase,region,literal_english,medical_english
पोटात गोळा येऊन राह्यला,Vidarbha,Ball is coming in stomach,Abdominal cramping
डोकं भचकून राह्यलं,Vidarbha,Head is pulsating,Severe throbbing headache
अंगाची लाही-लाही होऊन राह्यली,Vidarbha,Body is becoming parched,High fever
उरात धाप लागून राह्यली,Vidarbha,Panting is attached in chest,Dyspnea
अंगात हुशारीच न्हाई,Vidarbha,No smartness in body,Severe asthenia
पोटाची नुसती काहिली व्हतीया,Kolhapur,Stomach is just boiling,Gastritis
टाळू भणभणतीया बघ,Kolhapur,Crown of head is buzzing look,Vertex headache
काळजात धस्स व्हतंय,Kolhapur,Sinking feeling in liver,Sudden chest pain
डोळ्यांपुढं नुसती आंधारी येतीया,Kolhapur,Only darkness coming before eyes,Syncope/Vertigo
आंगात रगच ऱ्हायली न्हाय,Kolhapur,No strength left in body,Severe weakness
पोटांत ढवळून येताहा,Konkan,It is sloshing in stomach,Nausea
तकल्याक भयंकर ठणका लागलोय,Konkan,Terrible pounding attached to head,Severe headache
आंगात हिव भरान इलोय,Konkan,Cold has filled in body and come,Fever with chills
सांध्यांका कळा मारतात,Konkan,Needles striking to the joints,Arthralgia
श्वास घेवंक त्रास होताहा,Konkan,Trouble happening to take breath,Shortness of breath
पोटात वात धरल्यागत वाटतंय,Marathwada,Feels like wind caught in stomach,Colic/Bloating
डोकं ठणकून मोकळं व्हईना,Marathwada,Head is not getting free from throbbing,Persistent headache
डोळे पार लालबुंद झालेत,Marathwada,Eyes have become completely red-hot,Conjunctivitis
अंगात काही त्राणच राहिला न्हाई,Marathwada,No life left in body,Severe fatigue
खोकल्याची लई उबळ येतीया,Marathwada,Heavy spasm of cough is coming,Paroxysmal cough
पोटात चुणचुण करी ऱ्हायलं,Nashik,It is doing stinging in stomach,Mild abdominal pain
तापानं अंग खदखदी ऱ्हायलं,Nashik,Body is boiling with fever,High grade fever
छातीत धडधड हुई ऱ्हायली,Nashik,Thumping is happening in chest,Palpitations
पायात काई बळ ऱ्हायलं न्हाई,Nashik,No force left in legs,Lower limb weakness
हाडकं ठणकी ऱ्हायलेत,Nashik,Bones are throbbing,Bone pain
पोटात नुसता कल्ला चालूय,Pune,Only noise is going on in stomach,Borborygmi
तापाची नुसती कडक भरलीय,Pune,Only severe strictness of fever has filled,High fever
छातीवर कोणीतरी बसल्यागत वाटतयं,Pune,Feels like someone is sitting on chest,Angina pectoris
कंबर पार आखडून गेलीय,Pune,Waist has completely stiffened,Lumbago
डोळ्यांसमोर जाळं आल्यागत होतयं,Pune,Feels like web came before eyes,Blurred vision
पोटात कळा मारत्यात,Kolhapur,Needles stabbing in stomach,Severe abdominal pain
पोटात नुसतं डचमळतंय,Kolhapur,Stomach is just sloshing,Nausea
डोकं भणभणतंय बघा,Kolhapur,Head is buzzing look,Throbbing headache
टाळूची आग व्हतीया,Kolhapur,Fire of the crown is happening,Vertex headache
आंगात हिव भरुन आलंय,Kolhapur,Cold has filled in body,Fever with chills
तापाची लई कडक भरल्या,Kolhapur,Great strictness of fever has filled,High-grade fever
उरात धाप लागतीया,Kolhapur,Panting attached in chest,Dyspnea
गुडघ्यांची पार वाटी झालीया,Kolhapur,Knees have become completely cups,Severe osteoarthritis
छातीत कफ गच्च दाटलाय,Kolhapur,Phlegm has thickened tightly in chest,Chest congestion
कंबर पार मोडून पडल्या,Kolhapur,Waist is completely broken and fallen,Severe lumbago
आंगात हुशारीच वाटत न्हाय,Kolhapur,Not feeling smartness in body,Malaise
दाढेला ठणका लागलाय,Kolhapur,Pounding attached to molar,Severe toothache
चक्कर येऊन यडं-यडं झाल्यागत व्हतंय,Kolhapur,Spinning and feeling like gone mad,Severe dizziness
पायाच्या गोळ्या ताणल्यात,Kolhapur,Calves of legs are stretched,Calf muscle cramps
घसा पार बसलाय,Kolhapur,Throat has completely sat down,Laryngitis
अंगात हिव भरून राह्यलं,Vidarbha,Cold is filling in the body,Fever with chills
गुडघे जाम होऊन राह्यले,Vidarbha,Knees have become jammed,Joint stiffness
अंग मोडून राह्यलं,Vidarbha,Body is breaking,Myalgia
कंबर धरून बसली,Vidarbha,Waist has held and sat,Lumbago
खोकल्याची उबळ येऊन राह्यली,Vidarbha,Spasm of cough is coming,Paroxysmal cough
डोळ्यांपुढं अंधारी येऊन राह्यली,Vidarbha,Darkness coming before eyes,Vertigo/Syncope
छातीत गच्च धरून राह्यलं,Vidarbha,Chest is holding tight,Chest congestion/Angina
